Dismissals,Catches,Stumped,Catches_as_wk,Catches_as_fielder,Inninng,Ground,Start Date,Format,Opponent,Match_number
0,0,0,0,0,2,Chattogram,23 Dec 2004,ODI,Bangladesh,2199
1,1,0,1,0,1,Dhaka,26 Dec 2004,ODI,Bangladesh,2201
5,3,2,3,0,2,Dhaka,27 Dec 2004,ODI,Bangladesh,2202
0,0,0,0,0,2,Kochi,2 Apr 2005,ODI,Pakistan,2235
2,2,0,2,0,2,Visakhapatnam,5 Apr 2005,ODI,Pakistan,2236
1,0,1,0,0,1,Jamshedpur,9 Apr 2005,ODI,Pakistan,2237
0,0,0,0,0,2,Ahmedabad,12 Apr 2005,ODI,Pakistan,2238
0,0,0,0,0,2,Kanpur,15 Apr 2005,ODI,Pakistan,2239
2,2,0,2,0,1,Delhi,17 Apr 2005,ODI,Pakistan,2240
1,1,0,1,0,2,Dambulla,30 Jul 2005,ODI,Sri Lanka,2262
1,1,0,1,0,1,Dambulla,31 Jul 2005,ODI,West Indies,2263
3,3,0,3,0,2,Dambulla,3 Aug 2005,ODI,Sri Lanka,2265
0,0,0,0,0,2,Colombo (RPS),7 Aug 2005,ODI,West Indies,2267
0,0,0,0,0,1,Colombo (RPS),9 Aug 2005,ODI,Sri Lanka,2268
1,1,0,1,0,1,Bulawayo,26 Aug 2005,ODI,New Zealand,2273
0,0,0,0,0,2,Harare,29 Aug 2005,ODI,Zimbabwe,2274
1,1,0,1,0,1,Harare,2 Sep 2005,ODI,New Zealand,2278
1,0,1,0,0,1,Harare,4 Sep 2005,ODI,Zimbabwe,2280
2,1,1,1,0,2,Harare,6 Sep 2005,ODI,New Zealand,2281
2,0,2,0,0,2,Nagpur,25 Oct 2005,ODI,Sri Lanka,2286
1,1,0,1,0,1,Mohali,28 Oct 2005,ODI,Sri Lanka,2287
1,1,0,1,0,1,Jaipur,31 Oct 2005,ODI,Sri Lanka,2290
1,1,0,1,0,1,Pune,3 Nov 2005,ODI,Sri Lanka,2291
0,0,0,0,0,2,Ahmedabad,6 Nov 2005,ODI,Sri Lanka,2294
3,2,1,2,0,1,Rajkot,9 Nov 2005,ODI,Sri Lanka,2295
1,1,0,1,0,1,Vadodara,12 Nov 2005,ODI,Sri Lanka,2296
0,0,0,0,0,2,Hyderabad,16 Nov 2005,ODI,South Africa,2297
1,1,0,1,0,1,Bengaluru,19 Nov 2005,ODI,South Africa,2298
0,0,0,0,0,2,Eden Gardens,25 Nov 2005,ODI,South Africa,2299
0,0,0,0,0,1,Wankhede,28 Nov 2005,ODI,South Africa,2300
1,1,0,1,0,2,Chennai,2 Dec 2005,Test,Sri Lanka,1775
0,0,0,0,0,2,Delhi,10 Dec 2005,Test,Sri Lanka,1776
2,2,0,2,0,4,Delhi,10 Dec 2005,Test,Sri Lanka,1776
2,1,1,1,0,2,Ahmedabad,18 Dec 2005,Test,Sri Lanka,1778
1,1,0,1,0,4,Ahmedabad,18 Dec 2005,Test,Sri Lanka,1778
1,0,1,0,0,1,Lahore,13 Jan 2006,Test,Pakistan,1781
4,4,0,4,0,1,Faisalabad,21 Jan 2006,Test,Pakistan,1782
1,1,0,1,0,3,Faisalabad,21 Jan 2006,Test,Pakistan,1782
2,2,0,2,0,1,Karachi,29 Jan 2006,Test,Pakistan,1783
0,0,0,0,0,3,Karachi,29 Jan 2006,Test,Pakistan,1783
1,1,0,1,0,2,Peshawar,6 Feb 2006,ODI,Pakistan,2324
1,1,0,1,0,1,Rawalpindi,11 Feb 2006,ODI,Pakistan,2327
3,3,0,3,0,1,Lahore,13 Feb 2006,ODI,Pakistan,2329
3,3,0,3,0,1,Multan,16 Feb 2006,ODI,Pakistan,2331
0,0,0,0,0,1,Karachi,19 Feb 2006,ODI,Pakistan,2333
2,1,1,1,0,1,Nagpur,1 Mar 2006,Test,England,1785
2,2,0,2,0,3,Nagpur,1 Mar 2006,Test,England,1785
2,2,0,2,0,1,Mohali,9 Mar 2006,Test,England,1788
4,3,1,3,0,3,Mohali,9 Mar 2006,Test,England,1788
3,3,0,3,0,1,Wankhede,18 Mar 2006,Test,England,1791
3,2,1,2,0,3,Wankhede,18 Mar 2006,Test,England,1791
2,2,0,2,0,2,Delhi,28 Mar 2006,ODI,England,2357
2,1,1,1,0,1,Faridabad,31 Mar 2006,ODI,England,2358
1,1,0,1,0,2,Margao,3 Apr 2006,ODI,England,2359
1,1,0,1,0,1,Kochi,6 Apr 2006,ODI,England,2360
